LAT,LOG,YEAR,Month,Street
41.88693576,-87.669321454,2020,3,PAULINA ST
41.903985897,-87.667365297,2020,3,ASHLAND AVE
41.878444515,-87.617055093,2020,3,LAKE SHORE DR NB
41.993999764,-87.688776227,2020,3,GRANVILLE AVE
41.772135224,-87.661734824,2020,3,LAFLIN ST
41.880505042,-87.740466936,2020,3,KENTON AVE
41.903216072,-87.668778045,2020,3,DIVISION ST
41.771780113,-87.703317145,2020,3,MARQUETTE RD
41.955926114,-87.780398536,2020,3,MOODY AVE
41.783293499,-87.625259232,2020,3,STATE ST
41.803781471,-87.619596528,2020,3,PRAIRIE AVE
41.808532582,-87.682892138,2020,3,47TH ST
41.965195985,-87.67981331,2020,3,WILSON AVE
41.891480351,-87.711168951,2020,3,HOMAN AVE
41.773454665,-87.586086981,2020,3,67TH ST
41.80237973,-87.587979407,2020,3,LAKE PARK AVE
41.932097473,-87.710857073,2020,3,DIVERSEY AVE
41.792186016,-87.70337324,2020,3,KEDZIE AVE
41.995484476,-87.675834075,2020,3,RIDGE AVE
41.809290911,-87.616733046,2020,3,DR MARTIN LUTHER KING JR DR
41.778677456,-87.586564207,2020,3,STONY ISLAND AVE
41.881564167,-87.666929463,2020,3,MADISON ST
41.89558431,-87.655388952,2020,3,OGDEN AVE
41.891586581,-87.725726956,2020,3,OHIO ST
41.975908245,-87.701431269,2020,3,FOSTER AVE
41.976119958,-87.680740604,2020,3,FOSTER AVE
41.891733335,-87.711386453,2020,3,OHIO ST
